Title,Author,Year,Any location source,Has abstract,Abstract
La cooperación eficaz en los delitos de corrupción,Jorge Wladimir Caiza Taraguay,2026,Universidad Politécnica Salesiana Repositorio Digital (Universidad Politécnica Salesiana),Has abstract,"La cooperación eficaz se ha configurado como un mecanismo importante para el derecho premial penal, el cual busca facilitar la celeridad procesal mediante su cooperador eficaz a través de su información relevante se puede perseguir a la delincuencia organizada con el objetivo de desmantelar estructuras criminales. Es por ende que este mecanismo genera importantes retos y riesgos al momento de aplicarlo ya que se puede vulnerar los derechos fundamentales, así como también se puede faltar al debido proceso y al principio de legalidad. Varios desafíos al momento de aplicar este mecanismo uno de ellos es que se debe asegurar que la cooperación eficaz no se utilice de una manera desproporcional, quiere decir que su beneficio sea proporcional con su aporte mediante medidas que protejan al cooperador eficaz. En el ecuador la corrupción se ha desarrollado de manera bruta, ya que los propios funcionarios públicos han sido las personas que han conformado estas redes criminales que mediante sus cabezas realizaban trabajos o favores a las personas. En el caso ""metástasis"", se logró evidenciar que existió impunidad al momento de aplicar este mecanismo ya que si bien se obtuvo una información veraz que aportó a esclarecer los hechos. No se pudo lograr su objetivo general que es desmantelar estas redes criminales es decir el cooperador eficaz brinda la información que le conviene o también brinda información incompleta, pero él procesado recibe su beneficio y es aquí donde se genera impunidad ya que obtienen una mínima pena y la red criminal sigue operando."
La Corrupción política. Un análisis político-criminal,Patrícia Carraro Rossetto,2026,,Has abstract,
La corrupción y la preservación de la libertad según Maquiavelo,Mauricio Maluff Masi,2026,PhilPapers (PhilPapers Foundation),Has abstract,"La corrupción y la preservación de la libertad según Maquiavelo Por Mauricio Maluff Masi 1La corrupción es, tal vez, el concepto principal que utilizamos para interpretar la realidad paraguaya.Si somos pobres es por causa de la corrupción, si faltan medicamentos será por corrupción, incluso si perdemos en el fútbol hay quien culpa a la corrupción.Los que nos gobiernan son corruptos y los que no nos gobiernan también.Hay corrupción, naturalmente, en la policía; pero también en las escuelas, en la prensa y hasta en las comisiones vecinales.La corrupción es a la vez la causa de nuestros problemas y, tautológicamente, también su propia causa: si ocurre un hecho de corrupción, este se explica simplemente porque los responsables son corruptos.Sin embargo, rara vez nos detenemos a interrogar el significado de la corrupción, ni de por qué cada vez que logramos derrocar a un corrupto este es simplemente reemplazado por otro corrupto.En este ensayo argumentaré que el concepto de corrupción que típicamente utilizamos en Paraguay, entendida como corrupción personal, es más"
"La corrupción y su combate simulado en Veracruz, 2019-2024",México. Universidad Veracruzana|Víctor Manuel Andrade Guevara,2026,RC RENDICIÓN DE CUENTAS|DOAJ (DOAJ: Directory of Open Access Journals),Has abstract,"Este artículo revisa la situación de las prácticas de corrupción y el combate a ella en el estado de Veracruz, México, durante el primer periodo de gobierno del Movimiento de Regeneración Nacional (Morena), de 2019 a 2024, siguiendo la metodología del estudio de caso. Analizando la relación entre la calidad de la gobernanza, las prácticas de corrupción y de combate a ella, se expone que si bien en relación con el periodo anterior los niveles de corrupción disminuyeron, prevalecen elementos de una corrupción sistémica, una estructural, una ocasional y otra individual debido a la mala calidad de la gobernanza y la captura del Sistema Estatal Anticorrupción."
Visiones sobre la corrupción dictatorial en la transición democrática argentina,Martín Astarita,2026,Revista Paginas|Revista Paginas|DOAJ (DOAJ: Directory of Open Access Journals),Has abstract,"La última dictadura militar en la Argentina dejó el poder, a fines de 1983, bajo un extendido descrédito y rechazo social y en ello influyó, sin dudas, la verdad que crecientemente salía a la luz sobre los desaparecidos y la violación a los derechos humanos. Menos estudiado es que la corrupción dictatorial constituyó también un ingrediente fundamental en ese desplome del régimen autoritario en la consideración social. En este trabajo, se analizan las visiones sobre la corrupción dictatorial en los años de la transición democrática, en concreto, en el período que se abre con la asunción presidencial de Raúl Alfonsín, en diciembre de 1983, y a lo largo de sus primeros dos años de gestión. Interesa reflejar los significados y usos que le dan a la corrupción los principales actores políticos de la época: el gobierno nacional, el Congreso y los principales referentes de la oposición. ¿Cómo conceptualizan el tema y de qué manera se proponen enfrentar los casos de corrupción dictatorial denunciados? Nuestra hipótesis es que estos significados y usos de la corrupción se vieron influenciados por una transformación gradual que en paralelo atraviesa la sociedad argentina tras la caída del régimen de facto, consistente en el pasaje de una cultura política de matriz autoritaria a otra de tipo democrático. Este proceso de democratización plantea analogías dignas de resaltar con lo ocurrido en el plano de la lucha contra la violación de los derechos humanos."
"Acusaciones de corrupción, petitorios y manifestaciones públicas. Rosario, 1889-1890",Romina Garcilazo,2026,Revista Paginas|Revista Paginas|DOAJ (DOAJ: Directory of Open Access Journals),Has abstract,"En el presente artículo analizamos, bajo los lineamientos historiográficos de la Nueva Historia de la Corrupción Política, las denuncias y acusaciones de corrupción que se sucedieron en Rosario durante el período 1889/1890. Para llevar adelante la pesquisa nos focalizamos en tres episodios ocurridos en esa ciudad durante dicho lapso temporal: la presentación por parte de un empresario de un proyecto para la instalación de mataderos y mercados al Concejo Deliberante (CD), las denuncias de corrupción que pesaron sobre un agente policial y la celebración de petitorios y meetings contra las autoridades locales. En este sentido, exploramos el contenido de las denuncias, los discursos en torno a la corrupción y las reacciones públicas frente a las acusaciones que resultan indicativas de los niveles de tolerancia social."
LA CORRUPCIÓN SISTÉMICA. De las consecuencias institucionales a la transformación del sistema,Javier Marzal,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"Este artículo es la segunda contribución de la Serie sobre la corrupción, que desarrolla un nuevo paradigma (marco analítico) para el estudio de la corrupción basado en el análisis y la integración de la documentación producida por las organizaciones intergubernamentales. El primer artículo abordó la corrupción macroeconómica, cuya dimensión documentada supera a la deuda pública en las cuatro mayores economías de la Unión Europea, aunque esta dimensión no se ha incorporado al análisis económico, político ni anticorrupción. Este segundo artículo analiza la dimensión sistémica de la corrupción: qué ocurre cuando sus consecuencias alcanzan simultáneamente al conjunto de la sociedad. Basándose principalmente en tres décadas de documentación de organizaciones intergubernamentales, el análisis muestra que la corrupción ha sido vinculada de forma continuada al deterioro de la economía de mercado, el desarrollo económico, la productividad, la democracia, el imperio de la ley, los derechos humanos, la justicia social, la competencia, la estabilidad institucional y la seguridad de las sociedades. Estas consecuencias van mucho más allá de las conductas individuales tradicionalmente abordadas por las normas anticorrupción. El artículo integra esta documentación institucional con evidencia econométrica sobre la asignación ineficiente de recursos y las pérdidas de productividad, y analiza qué ocurre cuando la corrupción alcanza a las instituciones responsables de prevenirla, investigarla, juzgarla y sancionarla. Asimismo, introduce el concepto de minorías extractivas para analizar a los actores y redes que se benefician de forma continuada de la desviación de las instituciones respecto de los fines para los que fueron creadas. El análisis concluye que la corrupción sistémica no es simplemente otra categoría de corrupción. Cuando la corrupción afecta simultáneamente a la economía, la distribución de recursos y oportunidades, las instituciones democráticas, el imperio de la ley y los derechos fundamentales, se convierte en un mecanismo de transformación sistémica y emerge como una causa estructural de la decadencia occidental, incluida su decadencia económica."
LA CORRUPCIÓN SISTÉMICA. De las consecuencias institucionales a la transformación del sistema,Javier Marzal,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"Este artículo es la segunda contribución de la Serie sobre la corrupción, que desarrolla un nuevo paradigma (marco analítico) para el estudio de la corrupción basado en el análisis y la integración de la documentación producida por las organizaciones intergubernamentales. El primer artículo abordó la corrupción macroeconómica, cuya dimensión documentada supera a la deuda pública en las cuatro mayores economías de la Unión Europea, aunque esta dimensión no se ha incorporado al análisis económico, político ni anticorrupción. Este segundo artículo analiza la dimensión sistémica de la corrupción: qué ocurre cuando sus consecuencias alcanzan simultáneamente al conjunto de la sociedad. Basándose principalmente en tres décadas de documentación de organizaciones intergubernamentales, el análisis muestra que la corrupción ha sido vinculada de forma continuada al deterioro de la economía de mercado, el desarrollo económico, la productividad, la democracia, el imperio de la ley, los derechos humanos, la justicia social, la competencia, la estabilidad institucional y la seguridad de las sociedades. Estas consecuencias van mucho más allá de las conductas individuales tradicionalmente abordadas por las normas anticorrupción. El artículo integra esta documentación institucional con evidencia econométrica sobre la asignación ineficiente de recursos y las pérdidas de productividad, y analiza qué ocurre cuando la corrupción alcanza a las instituciones responsables de prevenirla, investigarla, juzgarla y sancionarla. Asimismo, introduce el concepto de minorías extractivas para analizar a los actores y redes que se benefician de forma continuada de la desviación de las instituciones respecto de los fines para los que fueron creadas. El análisis concluye que la corrupción sistémica no es simplemente otra categoría de corrupción. Cuando la corrupción afecta simultáneamente a la economía, la distribución de recursos y oportunidades, las instituciones democráticas, el imperio de la ley y los derechos fundamentales, se convierte en un mecanismo de transformación sistémica y emerge como una causa estructural de la decadencia occidental, incluida su decadencia económica."
Las respuestas a la corrupción desde el derecho procesal penal. Especial atención a la corrupción asociada al Crimen Organizado Transnacional. Parte III: las actuaciones de investigación,Eduardo Alcaíno Arellano|A.P. Alvarado Urizar|Carlos Correa Robles|Héctor Hernández Basualto|Héctor Olasolo|Antonio Segovia Arancibia|Dennis Cheng,2026,Repositorio Institucional E-DocUR (Universidad Del Rosario),Has abstract,"La presente obra colectiva se ocupa de ciertos elementos fundamentales en la persecución penal de delitos complejos, especialmente aquellos relacionados con la corrupción, sin los cuales, el éxito del procesamiento de los responsables de este tipo de conductas se vería sustancialmente reducido."
La corrupción pública desde la historia del derecho: un análisis de casos,Elisabet Velo Fabregat,2026,Dykinson eBooks|Dipòsit Digital de Documents de la UAB (Universitat Autònoma de Barcelona),Has abstract,"En esta monografía se analiza la corrupción pública desde la perspectiva de la Historia del Derecho y a partir de la metodología del análisis de casos. Los autores de los capítulos que conforman el libro son historiadores e historiadoras del derecho de diferentes países y especialistas en diversas áreas y épocas históricas. Cada autor escogió un caso prototípico de corrupción de su territorio y de la época que prefi­rió, a partir del cual analizar tanto el supuesto de hecho que llevó a la corrupción, como sobre todo la respuesta normativa (si la hubo) que dio la Administración Pública a ese caso ejemplar. El objetivo del uso de la metodología del análisis de casos en esta monografía es dar cuenta de que la corrupción ha ocurrido y ocurre en múltiples territorios y en todas las épocas, que la corrupción es un concepto normativo y que lo importante es analizar su historicidad. A partir de ello, somos capaces de constatar la pervivencia y constancia de la corrupción a lo largo de la historia y el espacio, e intuir que las respuestas contra dicho fenómeno no son siempre las más efi­cientes, o en todo caso, la existencia de la norma no es sufi­ciente para prevenir la práctica corrupta. Es más, la prevención no ha sido obstáculo para la propia transformación de las prácticas corruptas y su denuncia social, pero sí que refleja modalidades concretas de ejercicio del poder. Ahí está el valor añadido de la Historia del Derecho: recetas muchas, efi­cientes las menos, aunque necesarias. Si este muestreo de estos casos incentiva la investigación sobre la corrupción, habremos cumplido nuestro cometido."
"La corrupción del imaginario dantiano en Las tierras arrasadas, de Emiliano Monge",Diego Pérez Hernández,2026,Logos Revista de Lingüística Filosofía y Literatura|logos,Has abstract,"Este artículo analiza la corrupción del imaginario escatológico de la Divina comedia en Las tierras arrasadas, de Emiliano Monge. La propuesta interpretativa sostiene que la novela no invierte simplemente los reinos de ultratumba, sino que los degrada moralmente, transformando el infierno, el purgatorio y el paraíso en espacios envilecidos respecto de sus referentes dantianos. Esta corrupción simbólica permite cuestionar las condiciones en que se emiten juicios morales en contextos de violencia postestructural, donde las víctimas actúan como verdugos. Además, la obra pone en evidencia los límites estéticos del imaginario dantesco para representar horrores contemporáneos, revelando su insuficiencia como marco de sentido. Se concluye que la novela exige una respuesta ética, política y representacional ante la crisis humanitaria de los migrantes."
De la falsa regeneración a la corrupción bajo Pedro Sánchez (2018-2026),Jesús Sánchez Rodríguez,2026,Zenodo (CERN European Organization for Nuclear Research),Has abstract,"El libro analiza el ciclo político abierto en España en 2018 con la moción de censura que llevó a Pedro Sánchez a la Moncloa tras la sentencia del caso Gürtel contra el PP, y lo cierra en junio de 2026 trazando un balance demoledor: el partido que se presentó como adalid de la ""regeneración democrática"" termina protagonizando, según el autor, el episodio de corrupción institucional más grave de la democracia española. El relato recorre cronológicamente la etapa Sánchez: la moción de censura de 2018, la repetición electoral de 2019, el primer gobierno de coalición con Unidas Podemos (2020-2023) y la investidura de 2023 lograda como segunda fuerza gracias a las concesiones a ERC, Junts, PNV y EH Bildu, entre ellas la ley de amnistía del procés. El autor sostiene que esa dependencia de socios con agendas dispares ha producido tres legislaturas sin Presupuestos aprobados, un uso masivo del decreto ley y una creciente parálisis institucional. El núcleo del libro es el contraste entre el discurso ético de 2018 y la sucesión de escándalos posteriores: el caso de los ERE de Andalucía (y la polémica anulación de condenas por el Tribunal Constitucional, ahora en manos del TJUE), el caso Koldo-Ábalos-Cerdán (con la condena firme a 24 años de prisión del exministro José Luis Ábalos), el caso Tito Berni, la investigación y posterior juicio oral a Begoña Gómez, la causa contra el hermano del presidente, David Sánchez, la condena y dimisión del fiscal general Álvaro García Ortiz, y la inédita imputación del expresidente José Luis Rodríguez Zapatero en el caso Plus Ultra. También se documenta el registro de la sede del PSOE en Ferraz por la UCO. El autor compara sistemáticamente esta acumulación de casos con el caso Gürtel que derribó a Rajoy, denunciando un ""doble rasero"": exigencias de dimisión inmediata para el PP en 2018 frente a la resistencia y minimización ante escándalos de mayor envergadura dentro del propio PSOE. Argumenta que la corrupción política y económica retroalimentan un patrón de ""captura del Estado"" desde dentro, facilitado por la fragmentación parlamentaria y la voluntad de permanecer en el poder a cualquier precio. La conclusión central es que esta deriva hace aparecer los gobiernos de Pedro Sánchez como el cuarto período más peligros para la democracia española desde la Transición, junto al golpe militar de 1981, el terrorismo de ETA, o el intento de golpe de Estado secesionista de 2017, todos ellos de naturalezas diferentes, pero también como desafíos graves al sostenimiento de una democracia sometida periódicamente a fuertes momentos de tensión. No obstante, el libro cierra con una nota de cauto optimismo: la actuación de tribunales como la Audiencia de Sevilla, la UCO o el Tribunal Supremo demuestra que ciertos mecanismos de autocorrección democrática siguen funcionando."
La contratación con el estado: Un fortín de corrupción en Colombia,John Anderson Salgado Ramos,2026,Institutional Repository of the Santo Tomás University,Has abstract,"La corrupción, es uno de los problemas que más afecta a Colombia y a muchos países del mundo, un mal quebrantador de la democracia, deslegitimando el papel del Estado, amenaza permanente de las instituciones, del desarrollo económico de la sociedad; desde esta perspectiva, el presente trabajo tiene como propósito reflexionar con una perspectiva multidisciplinar e integral, lo concerniente a la corrupción en la administración pública, la contratación; por ende, la responsabilidad de aquellas personas vinculadas con el Estado que han permitido que este mal permee las instituciones a nivel nacional, a los entes territoriales, frenando el progreso, la inversión, instaurando escenarios de soborno y clientelismo, los cuales, impiden tener un sistema competitivo y proactivo. La contratación pública en Colombia está enmarcada por un amplio compendio normativo dirigido a mejorar la eficiencia del sistema de contratación en pro de los intereses generales de la sociedad y de la Administración Pública; sin embargo, este marco jurídico se caracteriza por ser inestable generando inseguridad jurídica, frente a los operadores que requieren relacionarse contractualmente con entidades públicas de manera clara y transparente. En la lucha contra la corrupción, no es suficiente contemplar el uso de mecanismos, controles e intervención de un solo organismo, porque este flagelo es un “hostil poderoso”, incrustado en la historia del país, un mal estructural que desde hace décadas enfrenta Colombia, y para aplacarlo o derrotarlo, se requiere trazar un camino íntegro donde se concierte no solo la tarea de prevenir sino también detectar y castigar a los responsables, así como fortalecer el marco legal, promoviendo la transparencia y por supuesto la participación activa de la ciudadanía. En ese sentido, el Estado colombiano desarrolla actividades contractuales que han de protegerse cumpliendo con los preceptos constitucionales y legales, velando por los intereses de los asociados y la prevalencia de la transparencia en la contratación, desarrollándose de forma equitativa, con eficacia bajo el lente de los organismos de control, alejando el flagelo que sin lugar a equívocos, trunca el crecimiento económico, vinculando la pobreza e influyendo de manera negativa en el desarrollo, crecimiento y competitividad del país. Un papel trascendental en esta lucha, lo juega el control de la función pública frente a las labores que ejecuta la administración dentro de los parámetros de eficacia y eficiencia, como también el control social que ha de ejercerse como una forma de autorregulación en donde Estado y Sociedad Civil se vinculan con el fin de cumplir con unos preceptos, y si de luchar contra este flagelo se trata los esfuerzos articulados del Estado y la sociedad son necesarios para ir erradicando este mal."
"La corrupción y su combate simulado en Veracruz, 2019-2024",Víctor Manuel Andrade Guevara,2026,Dialnet (Universidad de la Rioja),Has abstract,
